Период уплаты премии;Возраст Застрахованного;Пол;Смерть ЛП;Инвалидность 1,2. гр. ЛП;Смерть НС;Смерть ДТП;Травма;"КЗ РФ
Взнос";"КЗ Зарубеж
Взнос";i
3;62;m;1,26429%;0,50951%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;63;m;1,34516%;0,52597%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;64;m;1,43133%;0,54228%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;65;m;1,52193%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
3;66;m;1,61678%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
3;67;m;1,71759%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
3;68;m;1,82652%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
3;69;m;1,77836%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
3;70;m;1,70976%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
4;18;m;0,06590%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;19;m;0,07582%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;20;m;0,08643%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;21;m;0,09770%;0,01633%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;22;m;0,10963%;0,01633%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;23;m;0,12207%;0,01633%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;24;m;0,13481%;0,01634%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;25;m;0,14758%;0,01634%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
4;26;m;0,16015%;0,01634%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
